D:\lel\data\IMG\center_2020_10_02_08_43_19_907.jpg, D:\lel\data\IMG\left_2020_10_02_08_43_19_907.jpg, D:\lel\data\IMG\right_2020_10_02_08_43_19_907.jpg, 0, 0, 0, 5.375884
D:\lel\data\IMG\center_2020_10_02_08_43_20_012.jpg, D:\lel\data\IMG\left_2020_10_02_08_43_20_012.jpg, D:\lel\data\IMG\right_2020_10_02_08_43_20_012.jpg, 0, 0, 0, 5.311213
D:\lel\data\IMG\center_2020_10_02_08_43_20_119.jpg, D:\lel\data\IMG\left_2020_10_02_08_43_20_119.jpg, D:\lel\data\IMG\right_2020_10_02_08_43_20_119.jpg, 0, 0, 0, 5.257915
D:\lel\data\IMG\center_2020_10_02_08_43_20_225.jpg, D:\lel\data\IMG\left_2020_10_02_08_43_20_225.jpg, D:\lel\data\IMG\right_2020_10_02_08_43_20_225.jpg, 0, 0, 0, 5.205152
D:\lel\data\IMG\center_2020_10_02_08_43_20_325.jpg, D:\lel\data\IMG\left_2020_10_02_08_43_20_325.jpg, D:\lel\data\IMG\right_2020_10_02_08_43_20_325.jpg, 0, 0, 0, 5.152918
D:\lel\data\IMG\center_2020_10_02_08_43_20_431.jpg, D:\lel\data\IMG\left_2020_10_02_08_43_20_431.jpg, D:\lel\data\IMG\right_2020_10_02_08_43_20_431.jpg, 0, 0, 0, 5.09093
D:\lel\data\IMG\center_2020_10_02_08_43_20_534.jpg, D:\lel\data\IMG\left_2020_10_02_08_43_20_534.jpg, D:\lel\data\IMG\right_2020_10_02_08_43_20_534.jpg, 0, 0, 0, 5.039842
D:\lel\data\IMG\center_2020_10_02_08_43_20_639.jpg, D:\lel\data\IMG\left_2020_10_02_08_43_20_639.jpg, D:\lel\data\IMG\right_2020_10_02_08_43_20_639.jpg, 0, 0, 0, 4.989266
D:\lel\data\IMG\center_2020_10_02_08_43_20_743.jpg, D:\lel\data\IMG\left_2020_10_02_08_43_20_743.jpg, D:\lel\data\IMG\right_2020_10_02_08_43_20_743.jpg, 0, 0, 0, 4.939197
D:\lel\data\IMG\center_2020_10_02_08_43_20_847.jpg, D:\lel\data\IMG\left_2020_10_02_08_43_20_847.jpg, D:\lel\data\IMG\right_2020_10_02_08_43_20_847.jpg, 0, 0, 0, 4.889629
D:\lel\data\IMG\center_2020_10_02_08_43_20_949.jpg, D:\lel\data\IMG\left_2020_10_02_08_43_20_949.jpg, D:\lel\data\IMG\right_2020_10_02_08_43_20_949.jpg, -0.1662351, 0.3090978, 0, 5.088703
D:\lel\data\IMG\center_2020_10_02_08_43_21_058.jpg, D:\lel\data\IMG\left_2020_10_02_08_43_21_058.jpg, D:\lel\data\IMG\right_2020_10_02_08_43_21_058.jpg, -0.2764745, 0.6334749, 0, 5.61851
D:\lel\data\IMG\center_2020_10_02_08_43_21_166.jpg, D:\lel\data\IMG\left_2020_10_02_08_43_21_166.jpg, D:\lel\data\IMG\right_2020_10_02_08_43_21_166.jpg, 0, 0.8218932, 0, 6.508751
D:\lel\data\IMG\center_2020_10_02_08_43_21_266.jpg, D:\lel\data\IMG\left_2020_10_02_08_43_21_266.jpg, D:\lel\data\IMG\right_2020_10_02_08_43_21_266.jpg, 0, 0.7940571, 0, 7.295875
D:\lel\data\IMG\center_2020_10_02_08_43_21_378.jpg, D:\lel\data\IMG\left_2020_10_02_08_43_21_378.jpg, D:\lel\data\IMG\right_2020_10_02_08_43_21_378.jpg, -0.0718854, 1, 0, 8.594271
D:\lel\data\IMG\center_2020_10_02_08_43_21_485.jpg, D:\lel\data\IMG\left_2020_10_02_08_43_21_485.jpg, D:\lel\data\IMG\right_2020_10_02_08_43_21_485.jpg, -0.3681888, 1, 0, 9.676918
D:\lel\data\IMG\center_2020_10_02_08_43_21_586.jpg, D:\lel\data\IMG\left_2020_10_02_08_43_21_586.jpg, D:\lel\data\IMG\right_2020_10_02_08_43_21_586.jpg, -0.06836731, 1, 0, 10.78653
D:\lel\data\IMG\center_2020_10_02_08_43_21_692.jpg, D:\lel\data\IMG\left_2020_10_02_08_43_21_692.jpg, D:\lel\data\IMG\right_2020_10_02_08_43_21_692.jpg, 0, 1, 0, 11.85187
D:\lel\data\IMG\center_2020_10_02_08_43_21_795.jpg, D:\lel\data\IMG\left_2020_10_02_08_43_21_795.jpg, D:\lel\data\IMG\right_2020_10_02_08_43_21_795.jpg, 0, 1, 0, 13.05964
D:\lel\data\IMG\center_2020_10_02_08_43_21_903.jpg, D:\lel\data\IMG\left_2020_10_02_08_43_21_903.jpg, D:\lel\data\IMG\right_2020_10_02_08_43_21_903.jpg, -0.1673115, 1, 0, 14.04995
D:\lel\data\IMG\center_2020_10_02_08_43_22_006.jpg, D:\lel\data\IMG\left_2020_10_02_08_43_22_006.jpg, D:\lel\data\IMG\right_2020_10_02_08_43_22_006.jpg, -0.1098807, 1, 0, 15.35752
D:\lel\data\IMG\center_2020_10_02_08_43_22_115.jpg, D:\lel\data\IMG\left_2020_10_02_08_43_22_115.jpg, D:\lel\data\IMG\right_2020_10_02_08_43_22_115.jpg, 0, 1, 0, 16.64987
D:\lel\data\IMG\center_2020_10_02_08_43_22_215.jpg, D:\lel\data\IMG\left_2020_10_02_08_43_22_215.jpg, D:\lel\data\IMG\right_2020_10_02_08_43_22_215.jpg, 0, 1, 0, 17.47582
D:\lel\data\IMG\center_2020_10_02_08_43_22_318.jpg, D:\lel\data\IMG\left_2020_10_02_08_43_22_318.jpg, D:\lel\data\IMG\right_2020_10_02_08_43_22_318.jpg, -0.3042384, 1, 0, 18.64819
D:\lel\data\IMG\center_2020_10_02_08_43_22_421.jpg, D:\lel\data\IMG\left_2020_10_02_08_43_22_421.jpg, D:\lel\data\IMG\right_2020_10_02_08_43_22_421.jpg, -0.2761125, 1, 0, 19.46115
D:\lel\data\IMG\center_2020_10_02_08_43_22_526.jpg, D:\lel\data\IMG\left_2020_10_02_08_43_22_526.jpg, D:\lel\data\IMG\right_2020_10_02_08_43_22_526.jpg, 0, 1, 0, 20.58421
